Time,Yaw_Angle
1773653014.085293,90.1
1773653014.1855314,90.1
1773653014.2856803,90.1
1773653014.3858085,90.1
1773653014.485245,90.1
1773653014.5856583,90.1
1773653014.6859128,90.1
1773653014.785207,90.1
1773653014.8857305,90.1
1773653014.9856286,90.1
1773653015.086164,90.1
1773653015.186287,90.1
1773653015.2858489,90.1
1773653015.3856905,90.1
1773653015.4850788,90.1
1773653015.5853977,90.1
1773653015.6863103,90.1
1773653015.786073,90.1
1773653015.8861058,90.1
1773653015.9856355,90.1
1773653016.0861955,90.1
1773653016.1858501,90.1
1773653016.2860546,90.1
1773653016.3862028,90.1
1773653016.4855518,90.1
1773653016.585714,90.1
1773653016.6853423,90.1
1773653016.7859726,90.1
1773653016.8860686,90.1
1773653016.985924,90.1
1773653017.085612,90.1
1773653017.18539,90.1
1773653017.28552,90.1
1773653017.3861334,90.1
1773653017.485706,90.1
1773653017.585396,90.1
1773653017.6861434,90.1
1773653017.7858884,90.1
1773653017.8860574,90.1
1773653017.9862392,90.1
1773653018.0855536,90.1
1773653018.1851728,90.1
1773653018.2855916,90.1
1773653018.385882,90.1
1773653018.4858208,90.1
1773653018.5852377,90.1
1773653018.6858354,90.1
1773653018.7853494,90.1
1773653018.886042,90.1
1773653018.9856896,90.1
1773653019.0856907,90.1
1773653019.18534,90.1
1773653019.28567,90.1
1773653019.3862112,90.1
1773653019.4860647,90.1
1773653019.5860023,90.1
1773653019.6858778,90.1
1773653019.7858713,90.1
1773653019.8859532,90.1
1773653019.9859784,90.1
1773653020.086116,90.1
1773653020.1852329,90.1
1773653020.2857773,90.1
1773653020.3857868,90.1
1773653020.4852762,90.1
1773653020.5852919,90.1
1773653020.685869,90.1
1773653020.78569,90.1
1773653020.886179,90.1
1773653020.98593,90.1
1773653021.085907,90.1
1773653021.186067,90.1
1773653021.286147,90.1
1773653021.3861718,90.1
1773653021.4860363,90.1
1773653021.5863247,90.1
1773653021.6856577,90.1
1773653021.785872,90.1
1773653021.885701,90.1
1773653021.986298,90.1
1773653022.0856469,90.1
1773653022.185456,90.1
1773653022.2858608,90.1
1773653022.385708,90.1
1773653022.486014,90.1
1773653022.5856194,90.1
1773653022.6852891,90.1
1773653022.785764,90.1
1773653022.8853552,90.1
1773653022.9858754,90.1
1773653023.0861266,90.1
1773653023.185296,90.1
1773653023.2861784,90.1
1773653023.3856761,90.1
1773653023.4859486,90.1
1773653023.5855746,90.1
1773653023.6859498,90.1
1773653023.7853174,90.1
1773653023.885577,90.1
1773653023.985741,90.1
1773653024.0851483,90.1
1773653024.1854484,90.1
1773653024.285129,90.1
1773653024.3858936,90.1
1773653024.486323,90.1
1773653024.5856807,90.1
1773653024.6852987,90.1
1773653024.7856636,90.1
1773653024.8857598,90.1
1773653024.9862013,90.1
1773653025.0855675,90.1
1773653025.1860101,90.1
1773653025.2851264,90.1
1773653025.3862906,90.1
1773653025.48603,90.1
1773653025.5852208,90.1
1773653025.686006,90.1
1773653025.7854118,90.1
1773653025.8857205,90.1
1773653025.986247,90.1
1773653026.0853076,90.1
1773653026.185893,90.1
1773653026.2857218,90.1
1773653026.3859775,90.1
1773653026.4861994,90.1
1773653026.5854561,90.1
1773653026.6854305,90.1
1773653026.7857301,90.1
1773653026.8858395,90.1
1773653026.985739,90.1
1773653027.0860562,90.1
1773653027.1859593,90.1
1773653027.2852454,90.1
1773653027.3857427,90.1
1773653027.4860477,90.1
1773653027.5853558,90.1
1773653027.685553,90.1
1773653027.7859206,90.1
1773653027.8855286,90.1
1773653027.985388,90.1
1773653028.0850713,90.1
1773653028.1861203,90.1
1773653028.2858183,90.1
1773653028.385856,90.1
1773653028.4856026,90.1
1773653028.5854485,90.1
1773653028.6861703,90.1
1773653028.7859921,90.1
1773653028.886112,90.1
1773653028.9860868,90.1
1773653029.0859616,90.1
1773653029.1859813,90.1
1773653029.285916,90.1
1773653029.385291,90.1
1773653029.4858668,90.1
1773653029.5857723,90.1
1773653029.685766,90.1
1773653029.7854033,90.1
1773653029.8860438,90.1
1773653029.985815,90.1
1773653030.0854297,90.1
1773653030.1855338,90.1
1773653030.2861614,90.1
1773653030.385265,90.1
1773653030.4860082,90.1
1773653030.5857892,90.1
1773653030.6853442,90.1
1773653030.7857735,90.1
1773653030.8855863,90.1
1773653030.9860883,90.1
1773653031.0857923,90.1
1773653031.185572,90.1
1773653031.2857215,90.1
1773653031.3858085,90.1
1773653031.4856675,90.1
1773653031.5859804,90.1
1773653031.6852446,90.1
1773653031.7857232,90.1
1773653031.8858733,90.1
1773653031.9859653,90.1
1773653032.0857751,90.1
1773653032.1852326,90.1
1773653032.2861412,90.1
1773653032.3860183,90.1
1773653032.4858563,90.1
1773653032.5860853,90.1
1773653032.6857874,90.1
1773653032.7858012,90.1
1773653032.8858545,90.1
1773653032.9859295,90.1
1773653033.0857189,90.1
1773653033.185469,90.1
1773653033.2858713,90.1
1773653033.3856666,90.1
1773653033.4858322,90.1
1773653033.5858333,90.1
1773653033.6851761,90.1
1773653033.785097,90.1
1773653033.885738,90.1
1773653033.9862864,90.1
1773653034.085837,90.1
1773653034.1853561,90.1
1773653034.285149,90.1
1773653034.3857367,90.1
1773653034.4854069,90.1
1773653034.5858984,90.1
1773653034.6858332,90.1
1773653034.7862449,90.1
1773653034.885725,90.1
1773653034.9858992,90.1
1773653035.0857897,90.1
1773653035.18585,90.1
1773653035.2854247,90.1
1773653035.385846,90.1
1773653035.4852438,90.1
1773653035.5861077,90.1
1773653035.685794,90.1
1773653035.7853277,90.1
1773653035.8858094,90.1
1773653035.985564,90.1
1773653036.0859942,90.1
1773653036.1858354,90.1
1773653036.2857666,90.1
1773653036.3852015,90.1
1773653036.4850223,90.1
1773653036.585796,90.1
1773653036.6860058,90.1
1773653036.7851121,90.1
1773653036.886122,90.1
1773653036.9852676,90.1
1773653037.0857027,90.1
1773653037.1858168,90.1
1773653037.2851353,90.1
1773653037.3852015,90.1
1773653037.4858127,90.1
1773653037.5861633,90.1
1773653037.6860352,90.1
1773653037.7861173,90.1
1773653037.8853078,90.1
1773653037.9859426,90.1
1773653038.085782,90.1
1773653038.186169,90.1
1773653038.2860188,90.1
1773653038.3857598,90.1
1773653038.4860122,90.1
1773653038.5857215,90.1
1773653038.686362,90.1
1773653038.785819,90.1
1773653038.8855915,90.1
1773653038.985792,90.1
1773653039.0859053,90.1
1773653039.1859455,90.1
1773653039.2857888,90.1
1773653039.3851702,90.1
1773653039.4862165,90.1
1773653039.5856361,90.1
1773653039.6856918,90.1
1773653039.7857778,90.1
1773653039.8853014,90.1
1773653039.9856606,90.1
1773653040.0852568,90.1
1773653040.185778,90.1
1773653040.2859612,90.1
1773653040.385434,90.1
1773653040.485497,90.1
1773653040.5851653,90.1
1773653040.6859424,90.1
1773653040.7862797,90.1
1773653040.8858316,90.1
1773653040.9857721,90.1
1773653041.086149,90.1
1773653041.185739,90.1
1773653041.2859962,90.1
1773653041.3861523,90.1
1773653041.4860795,90.1
1773653041.585402,90.1
1773653041.6858852,90.1
1773653041.7858586,90.1
1773653041.885445,90.1
1773653041.9859595,90.1
1773653042.0860398,90.1
1773653042.186053,90.1
1773653042.2864082,90.1
1773653042.3852365,90.1
1773653042.4857798,90.1
1773653042.5852578,90.1
1773653042.6858582,90.1
1773653042.786009,90.1
1773653042.885343,90.1
1773653042.9852138,90.1
1773653043.0855153,90.1
1773653043.1858747,90.1
1773653043.2853096,90.1
1773653043.38559,90.1
1773653043.4858608,90.1
1773653043.58583,90.1
1773653043.6860049,90.1
1773653043.7863224,90.1
1773653043.8854442,90.1
1773653043.985848,90.1
1773653044.085538,90.1
1773653044.1859329,90.1
1773653044.2852666,90.1
1773653044.3850992,90.1
1773653044.485824,90.1
1773653044.5858753,90.1
1773653044.6859937,90.1
1773653044.7860143,90.1
1773653044.8852334,90.1
1773653044.9851117,90.1
1773653045.0856256,90.1
1773653045.185929,90.1
1773653045.2857962,90.1
1773653045.3856776,90.1
1773653045.4862876,90.1
1773653045.5857167,90.1
1773653045.6853106,90.1
1773653045.7861106,90.1
1773653045.8859925,90.1
1773653045.9851472,90.1
1773653046.0850563,90.1
1773653046.1855943,90.1
1773653046.285211,90.1
1773653046.3857868,90.1
1773653046.4854927,90.1
1773653046.585464,90.1
1773653046.6850553,90.1
1773653046.7858624,90.1
1773653046.885726,90.1
1773653046.9854774,90.1
1773653047.0857558,90.1
1773653047.1861956,90.1
1773653047.2858105,90.1
1773653047.3857844,90.1
1773653047.4857206,90.1
1773653047.5857892,90.1
1773653047.6852157,90.1
1773653047.7856863,90.1
1773653047.8860343,90.1
1773653047.9857183,90.1
1773653048.0853949,90.1
1773653048.1857371,90.1
1773653048.285708,90.1
1773653048.386251,90.1
1773653048.4851956,90.1
1773653048.585578,90.1
1773653048.685884,90.1
1773653048.785611,90.1
1773653048.886025,90.1
1773653048.9861238,90.1
1773653049.0851514,90.1
1773653049.1861048,90.1
1773653049.2854736,90.1
1773653049.3860223,90.1
1773653049.4857888,90.1
1773653049.5851798,90.1
1773653049.6860418,90.1
1773653049.7858813,90.1
1773653049.8859394,90.1
1773653049.9859068,90.1
